raw_frame_id,raw_filename,frame_number,timestamp,extraction_rate,brightness,contrast,blur_edge_score,perceptual_hash,duplicate_distance,duplicate_of,script_suggestion,script_reason,final_decision,final_reason,final_curated_image_id,final_curated_filename,reviewer,comment
nosferatu_raw_000148,raw_frames/nosferatu_raw_000148.jpg,148,00:24:30,1 frame / 10 sec,11.148,13.445,2.844,00682048686074f0,36,,remove,black_frame,kept,,nosferatu_000148,nosferatu_000148.jpg,,
nosferatu_raw_000151,raw_frames/nosferatu_raw_000151.jpg,151,00:25:00,1 frame / 10 sec,19.308,20.367,6.452,83a3a3a28202e2e0,7,,review,usable_candidate,kept,,nosferatu_000151,nosferatu_000151.jpg,,
nosferatu_raw_000154,raw_frames/nosferatu_raw_000154.jpg,154,00:25:30,1 frame / 10 sec,15.659,16.202,4.047,5ede7e4040808090,14,,remove,black_frame,kept,,nosferatu_000154,nosferatu_000154.jpg,,
nosferatu_raw_000156,raw_frames/nosferatu_raw_000156.jpg,156,00:25:50,1 frame / 10 sec,16.612,19.021,4.256,9fb7f3d381808000,7,,remove,black_frame,kept,,nosferatu_000156,nosferatu_000156.jpg,,
nosferatu_raw_000159,raw_frames/nosferatu_raw_000159.jpg,159,00:26:20,1 frame / 10 sec,11.996,19.64,2.083,00000000083c3c70,36,,remove,black_frame,kept,,nosferatu_000159,nosferatu_000159.jpg,,
nosferatu_raw_000162,raw_frames/nosferatu_raw_000162.jpg,162,00:26:50,1 frame / 10 sec,17.785,24.168,2.215,3078fc1c08000000,18,,remove,black_frame,kept,,nosferatu_000162,nosferatu_000162.jpg,,
nosferatu_raw_000164,raw_frames/nosferatu_raw_000164.jpg,164,00:27:10,1 frame / 10 sec,32.307,38.506,10.508,00083c7efe3e0000,1,nosferatu_raw_000163,remove,near_duplicate,kept,,nosferatu_000164,nosferatu_000164.jpg,,
nosferatu_raw_000167,raw_frames/nosferatu_raw_000167.jpg,167,00:27:40,1 frame / 10 sec,12.473,15.58,4.07,30203032f4ffd200,13,,remove,black_frame,kept,,nosferatu_000167,nosferatu_000167.jpg,,
nosferatu_raw_000169,raw_frames/nosferatu_raw_000169.jpg,169,00:28:00,1 frame / 10 sec,14.351,17.769,2.199,0058587e7c6c0400,14,,remove,black_frame,kept,,nosferatu_000169,nosferatu_000169.jpg,,
nosferatu_raw_000173,raw_frames/nosferatu_raw_000173.jpg,173,00:28:40,1 frame / 10 sec,14.511,21.606,3.24,206062e464e40000,29,,remove,black_frame,kept,,nosferatu_000173,nosferatu_000173.jpg,,
nosferatu_raw_000175,raw_frames/nosferatu_raw_000175.jpg,175,00:29:00,1 frame / 10 sec,10.246,12.366,3.57,0040e0f8f600000c,17,,remove,black_frame,kept,,nosferatu_000175,nosferatu_000175.jpg,,
nosferatu_raw_000177,raw_frames/nosferatu_raw_000177.jpg,177,00:29:20,1 frame / 10 sec,26.019,30.654,3.148,001078f8f8e06000,13,,remove,blurred,kept,,nosferatu_000177,nosferatu_000177.jpg,,
nosferatu_raw_000178,raw_frames/nosferatu_raw_000178.jpg,178,00:29:30,1 frame / 10 sec,13.048,13.029,1.988,40c0f8f8f8e06000,5,nosferatu_raw_000177,remove,black_frame,kept,,nosferatu_000178,nosferatu_000178.jpg,,
nosferatu_raw_000179,raw_frames/nosferatu_raw_000179.jpg,179,00:29:40,1 frame / 10 sec,13.347,18.226,3.801,20746e6e6e400000,22,,remove,black_frame,kept,,nosferatu_000179,nosferatu_000179.jpg,,
nosferatu_raw_000180,raw_frames/nosferatu_raw_000180.jpg,180,00:29:50,1 frame / 10 sec,12.092,12.295,1.756,0000103c7c6e4600,23,,remove,black_frame,kept,,nosferatu_000180,nosferatu_000180.jpg,,
nosferatu_raw_000181,raw_frames/nosferatu_raw_000181.jpg,181,00:30:00,1 frame / 10 sec,15.982,15.739,3.314,187c3c7e38200000,21,,remove,black_frame,kept,,nosferatu_000181,nosferatu_000181.jpg,,
nosferatu_raw_000183,raw_frames/nosferatu_raw_000183.jpg,183,00:30:20,1 frame / 10 sec,17.812,15.866,2.945,06377b4aea501800,19,,remove,black_frame,kept,,nosferatu_000183,nosferatu_000183.jpg,,
nosferatu_raw_000185,raw_frames/nosferatu_raw_000185.jpg,185,00:30:40,1 frame / 10 sec,39.583,35.516,6.991,007064f07e3f1e00,31,,review,usable_candidate,kept,,nosferatu_000185,nosferatu_000185.jpg,,
nosferatu_raw_000186,raw_frames/nosferatu_raw_000186.jpg,186,00:30:50,1 frame / 10 sec,35.766,33.127,4.235,0c3e3cfcdcf03000,24,,review,usable_candidate,kept,,nosferatu_000186,nosferatu_000186.jpg,,
nosferatu_raw_000189,raw_frames/nosferatu_raw_000189.jpg,189,00:31:20,1 frame / 10 sec,43.931,29.858,9.888,e0e3e7e1d8003f31,31,,review,usable_candidate,kept,,nosferatu_000189,nosferatu_000189.jpg,,
nosferatu_raw_000192,raw_frames/nosferatu_raw_000192.jpg,192,00:31:50,1 frame / 10 sec,39.149,22.271,7.988,0c3e7efe7a7e7c00,41,,review,usable_candidate,kept,,nosferatu_000192,nosferatu_000192.jpg,,
nosferatu_raw_000195,raw_frames/nosferatu_raw_000195.jpg,195,00:32:20,1 frame / 10 sec,44.303,29.874,7.657,e0e7dbd78c081b31,35,,review,usable_candidate,kept,,nosferatu_000195,nosferatu_000195.jpg,,
