image_id,frame_filename,film_title,film_year,source_platform,source_url,license_status,access_date,timestamp,extraction_rate,curation_decision,notes
nosferatu_000175,nosferatu_000175.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:29:00,1 frame / 10 sec,kept,
nosferatu_000177,nosferatu_000177.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:29:20,1 frame / 10 sec,kept,
nosferatu_000178,nosferatu_000178.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:29:30,1 frame / 10 sec,kept,
nosferatu_000179,nosferatu_000179.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:29:40,1 frame / 10 sec,kept,
nosferatu_000180,nosferatu_000180.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:29:50,1 frame / 10 sec,kept,
nosferatu_000181,nosferatu_000181.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:30:00,1 frame / 10 sec,kept,
nosferatu_000183,nosferatu_000183.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:30:20,1 frame / 10 sec,kept,
nosferatu_000185,nosferatu_000185.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:30:40,1 frame / 10 sec,kept,
nosferatu_000186,nosferatu_000186.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:30:50,1 frame / 10 sec,kept,
nosferatu_000189,nosferatu_000189.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:31:20,1 frame / 10 sec,kept,
nosferatu_000192,nosferatu_000192.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:31:50,1 frame / 10 sec,kept,
nosferatu_000195,nosferatu_000195.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:32:20,1 frame / 10 sec,kept,
nosferatu_000196,nosferatu_000196.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:32:30,1 frame / 10 sec,kept,
nosferatu_000197,nosferatu_000197.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:32:40,1 frame / 10 sec,kept,
nosferatu_000199,nosferatu_000199.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:33:00,1 frame / 10 sec,kept,
nosferatu_000203,nosferatu_000203.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:33:40,1 frame / 10 sec,kept,
nosferatu_000206,nosferatu_000206.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:34:10,1 frame / 10 sec,kept,
nosferatu_000210,nosferatu_000210.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:34:50,1 frame / 10 sec,kept,
nosferatu_000219,nosferatu_000219.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:36:20,1 frame / 10 sec,kept,
